"Cd" "Cu" "N" "Biomass"
0.29 18.584 0.229 13.66
0.3 22.637 0.125 13.09
0.27 16.003 0.237 14.73
0.24 15.071 0.295 17.28
0.32 19.574 0.247 12.15
0.32 19.799 0.189 12.05
0.25 19.118 0.195 14.11
0.34 23.97 0.168 11.59
0.24 12.305 0.186 15.16
0.32 11.142 0.188 11.83
0.27 12.467 0.132 11.42
0.34 16.039 0.138 7.79
0.32 9.835 0.176 9.89
0.31 21.892 0.247 12.59
0.31 23.689 0.24 11.65
0.3 19.157 0.183 12.3
0.36 21.203 0.195 10.93
0.28 21.711 0.18 11.82
0.34 23.385 0.172 10.34
0.36 22.87 0.207 10.82
0.27 15.843 0.233 16.2
0.24 23.56 0.209 12.67
0.35 12.205 0.208 11.88
0.37 18.945 0.217 10.75
0.29 14.778 0.291 12.6
0.27 18.114 0.201 13.09
0.3 21.071 0.191 13.66
0.3 24.572 0.096 11.07
0.32 22.677 0.25 12.79
0.21 18.526 0.213 17.46
